南京大学内生金属矿床成矿机制研究国家重点实验室,http://lamd.nju.edu.cn/,WARNING0,,,
南京大学-SPOC官方网站,http://study.nju.edu.cn/home/index.mooc,WARNING0,,,
南京大学 | 教育技术中心 | 首页,http://cet.nju.edu.cn/,WARNING0,,,
美术研究院,https://yjy.nju.edu.cn/,,,,
TCS @ NJU,http://tcs.nju.edu.cn/,WARNING0,,,
南京大学金陵学院商学院,http://sy.jlxy.nju.edu.cn/,WARNING0,,,
登录- 课立方 - 南京大学,http://mooc.nju.edu.cn/Home/User/login.html,WARNING0,,,
大学外语部,https://dafls.nju.edu.cn/,,,,
外国语学院,http://sfs.nju.edu.cn/,WARNING0,,,
南京大学金陵学院信息科学与工程学院,http://ise.jlxy.nju.edu.cn/,WARNING0,,,
南京大学MPA,http://mpa.nju.edu.cn/,WARNING0,,,
南京大学 离退休工作处,http://ltx.nju.edu.cn/,WARNING0,,,
MaLab,http://qoqi.nju.edu.cn/,WARNING0,,,
江苏省高等学校数字图书馆_JALIS,https://www.jalis.nju.edu.cn/,,,,
Gattaca lab,http://gattaca.nju.edu.cn/,WARNING0,,,
精品课程,http://elearning.nju.edu.cn/,WARNING0,ERROR0,,
南京大学国际地球系统科学研究所,https://essi.nju.edu.cn/,,,,
南京大学艺术研究院,http://artint.nju.edu.cn/,WARNING0,,,
中国高等教育学会档案工作分会--http://zgd.nju.edu.cn,http://zgd.nju.edu.cn/,WARNING0,,,
南京大学学衡研究院,http://xueheng.nju.edu.cn/,WARNING0,,,
江苏汇文软件有限公司,http://libsys2000.nju.edu.cn/,WARNING0,,,
首页BioMed Laboratory,http://jfzhang.nju.edu.cn/,WARNING0,,,
南京大学继续教育学院 - powered by whatycms,http://ces.nju.edu.cn/cms/,WARNING0,,,
南京大学IIP,http://iip.nju.edu.cn/index.php/%E9%A6%96%E9%A1%B5,WARNING0,,,
主页- LAMDA,http://lamda.nju.edu.cn/CH.MainPage.ashx,WARNING0,,,
原子团簇与纳米科学研究室 Guanghou Wang group,https://cluster.nju.edu.cn/,,,,
欢迎访问纳光子实验室,http://npl.nju.edu.cn/,WARNING0,,,
Lab of Mesoscopic Physics and Quantum Devices,http://nano.nju.edu.cn/,WARNING0,,,
党委办公室,http://dwbgs.nju.edu.cn/,WARNING0,,,
中美文化研究中心,http://hnchome.nju.edu.cn/,WARNING0,,,
建筑与城市规划学院,http://arch.nju.edu.cn/,WARNING0,,,
资产经营有限公司,http://ndzcgs.nju.edu.cn/,WARNING0,,,
南京大学国际合作与交流处 学生交流科,http://stuex.nju.edu.cn/,WARNING0,,,
南京大学声学研究所,http://acoustics.nju.edu.cn/,WARNING0,,,
南京大学纳米磁性科研组,http://nanomag.nju.edu.cn/,WARNING0,,,
南京大学-微纳光学与超快光学实验室,http://optics.nju.edu.cn/,WARNING0,,,
首页- 南京大学金陵学院学工处官网|xsgz.jlxy.nju.edu.cn,http://xsgz.jlxy.nju.edu.cn/,WARNING0,,,
江苏省高校图书情报工作委员会,https://jstgw.nju.edu.cn/,,,,
计算机系本科生开放日,http://csopenday.nju.edu.cn/,WARNING0,,,
主页—南京大学PASA大数据技术实验室,http://pasa-bigdata.nju.edu.cn/,WARNING0,,,
Neutron Scattering Group,http://neus.nju.edu.cn/,WARNING0,,,
南京大学信息化建设与管理办公室,http://oi.nju.edu.cn/,WARNING0,,,
南京大学理论与计算化学研究所,http://itcc.nju.edu.cn/zh/,WARNING0,,,
南京大学化学实验教学中心,http://chemlabs.nju.edu.cn/,WARNING0,,,
南京大学中尺度动力学与台风研究团队 | Mesoscale Dynamics and ...,http://meso.nju.edu.cn/web/,WARNING0,ERROR0,,
南京大学-介电体超晶格实验室,http://slab.nju.edu.cn/,WARNING0,,,
MPAcc,http://mpacc.nju.edu.cn/,WARNING0,,,
首页- 南大戏剧影视艺术系,http://thea.nju.edu.cn/,WARNING0,,,
南京大学网络教育学院,http://de.nju.edu.cn/,WARNING0,,,
Welcome,http://ldm.nju.edu.cn/,WARNING0,,,
南京大学统一战线网站,http://tzb.nju.edu.cn/,WARNING0,,,
首页- 南京大学金陵学院总务处官网|zwc.jlxy.nju.edu.cn,http://www.baidu.com/link?url=MXrB9j3M9Lz4UkVscPzqpfM6Oe-f1hUvg4pScdvSFGtlWUydDH3ZeuY7M68_xoy9&wd=&eqid=8eb053310000a998000000065c235368,WARNING0,ERROR0,ERROR1,
南京大学生科院实验中心——csv-parse,http://biolab.nju.edu.cn/,WARNING0,,,
区域与城市空气质量和灰霾天气预报系统,http://aerc.nju.edu.cn/,WARNING0,,,
MBA,http://mba.nju.edu.cn/,WARNING0,,,
海外教育学院,http://hwxy.nju.edu.cn/,WARNING0,,,
马克思主义学院,http://marxism.nju.edu.cn/,WARNING0,,,
南京大学超导物理和材料研究中心,http://sc.nju.edu.cn/,WARNING0,,,
Plweb,http://www.baidu.com/link?url=IhzCfx1BVAuem5vHsY-TsaPfXLCXqq0O7bbTTCQE09u&wd=&eqid=deb78cfe0000a2f7000000065c2353d6,WARNING0,ERROR0,ERROR1,
Junos Pulse Secure Access Service,https://vpn.nju.edu.cn/dana-na/auth/url_default/welcome.cgi,,,,
宽禁带半导体器件与微纳光电实验室,http://iiiv.nju.edu.cn/,WARNING0,,,
南京大学金陵学院城市与土木工程学院,http://cz.jlxy.nju.edu.cn/,WARNING0,,,
首页- 南京大学金陵学院化学与生命科学学院官网|scls.jlxy.nju...,http://www.baidu.com/link?url=a3O_lHlRiNg9uSgfWL_tuOaOczJdXiGN50BeazOi82kjejS82Y8b30q49Nc8KpMh&wd=&eqid=deb78cfe0000a2f7000000065c2353d6,WARNING0,ERROR0,ERROR1,
南京大学技术转移中心,https://ttc.nju.edu.cn/,,,,
南京大学中华文化研究院,https://zhwh.nju.edu.cn/,,,,
中国社会科学引文索引---首页,http://cssci.nju.edu.cn/,WARNING0,,,
大学外语综合技能训练中心,http://eol.nju.edu.cn/,WARNING0,,,
计算机科学与技术实验教学中心,http://cslab.nju.edu.cn/,WARNING0,,,
南京大学化学化工学院中级化学实验室,http://www.baidu.com/link?url=AhzA7vvQf8_frR4bK-Kcu4P12shZ_X4DBkt_D1HtlTkJUKIjLyICfHeqbObPUtuR&wd=&eqid=9766008e0000c2e6000000065c235443,WARNING0,ERROR0,ERROR1,
南京大学高分子科学与工程系,http://polymer.nju.edu.cn/,WARNING0,,,
南京大学档案馆-Nanjing University Archives,https://dawww.nju.edu.cn/,,,,
南京大学金陵学院人事处,http://rsc.jlxy.nju.edu.cn/,WARNING0,,,
亚太发展研究中心,http://capds.nju.edu.cn/,WARNING0,,,
基建处,https://jjc.nju.edu.cn/,,,,
外国语学院,http://sfs.nju.edu.cn/,WARNING0,,,
创新创业与成果转化工作办公室,http://ndsc.nju.edu.cn/,WARNING0,,,
南京大学介电体超晶格实验室(DSL)网站,http://dsl.nju.edu.cn/,WARNING0,,,
Jia Zhu Group,https://nanoenergy.nju.edu.cn/,,,,
南京大学金陵学院艺术学院,http://ysxy.jlxy.nju.edu.cn/,WARNING0,,,
招标办,http://ndzbb.nju.edu.cn/,WARNING0,,,
南大就业首页,http://job.nju.edu.cn/,WARNING0,,,
南京大学人才招聘网,http://rczp.nju.edu.cn/,WARNING0,,,
人武部,https://rwb.nju.edu.cn/,,,,
Nanjing University - Online Service Platform for ...,http://istudy.nju.edu.cn/,WARNING0,ERROR0,,
本科招生网,http://bkzs.nju.edu.cn/,WARNING0,,,
Huigang Zhang Research Group - Nanjing University,http://ulab.nju.edu.cn/,WARNING0,,,
CITE,http://cite.nju.edu.cn/,WARNING0,,,
南京大学学生综合服务平台登录,http://xsgl.nju.edu.cn/,WARNING0,,,
南京大学商学院—首页--创造商学新知、拓展学生才能、引领社会未来,http://njubs.nju.edu.cn/,WARNING0,,,
The 5th International Conference on Frontiers of Plasmonics,http://fop5.nju.edu.cn/,WARNING0,,,
环境与能源再生研究中心,https://ererc.nju.edu.cn/,,,,
江伟南京大学 (Wei Jiang Nanjing University),https://jianglab.nju.edu.cn/,,,,
MCG@NJU 南京大学媒体计算研究组,http://mcg.nju.edu.cn/,WARNING0,,,
功能生物分子研究所,http://ifb.nju.edu.cn/,WARNING0,,,
首页,http://microfab.nju.edu.cn/,WARNING0,,,
南京大学在线支付平台,http://pay.nju.edu.cn/,WARNING0,,,
南京大学生物物理研究所 首页,http://biophy.nju.edu.cn/,WARNING0,,,
学科建设与发展规划办公室,http://xkb.nju.edu.cn/,WARNING0,,,
南京大学统一身份认证服务,http://cer.nju.edu.cn/amserver/UI/Login?goto=http%3A%2F%2Fvolunteer.nju.edu.cn%3A80%2F,WARNING0,,,
财务处,http://ndcwc.nju.edu.cn/main.psp,WARNING0,,,
生物地球化学与环境修复团队,https://malab.nju.edu.cn/,,,,
仁来仁网,http://rlrw.nju.edu.cn/,WARNING0,,,
地球科学实验教学中心,https://geolab.nju.edu.cn/,,,,
南京大学中国智库研究与评价中心,http://ctti.nju.edu.cn/index.html,WARNING0,,,
汪霞教授研究团队南京大学教育研究院,http://eduwx.nju.edu.cn/,WARNING0,,,
cx.nju.edu.cn/,http://cx.nju.edu.cn/widgets/login/?from_url=http%3A%2F%2Fcx.nju.edu.cn%2F,WARNING0,ERROR0,,
原子制造与量子器件,https://song.nju.edu.cn/old/,,,,
南京大学统一身份认证,https://cas.nju.edu.cn/cas/login?service=http%3A%2F%2Fdata.nju.edu.cn%3A80%2Fidc%2F,,,,
登录- Nanjing University Box,https://box.nju.edu.cn/accounts/login/?next=/,,,,
欢迎来到化学化工学院教师个人主页,http://hysz.nju.edu.cn/,WARNING0,,,
首页- 南京大学化学化工学院学生工作网,http://chemosa.nju.edu.cn/,WARNING0,,,
南京大学图书馆v5.6书目检索系统,http://opac.nju.edu.cn/opac/search_adv.php#/index,WARNING0,,,
系统提示,http://admission.nju.edu.cn/,WARNING0,,,
南京大学金陵学院党政办公室,http://www.baidu.com/link?url=g-Py8Kob1HRWMHI6NKL_k118rJSToFiixUMLKhnaCe6tKO5z0KbbHbXhWpe_Zwh6&wd=&eqid=853c7be00000ef97000000065c235668,WARNING0,,ERROR1,
南京大学计算机系本科教学支撑平台,http://cslabcms.nju.edu.cn/,WARNING0,,,
Welcome to nginx!,http://jisq.nju.edu.cn/,WARNING0,,,
和典学堂,http://e.nju.edu.cn/,WARNING0,,,
南京大学校史博物馆,https://historymuseum.nju.edu.cn/,,,,
于涵洋课题组-南京大学现代工程与应用科学学院,http://yulab.nju.edu.cn/,WARNING0,,,
海岸与海岛开发教育部重点实验室,http://coastlab.nju.edu.cn/,WARNING0,,,
中国思想家研究中心,http://sxsyj.nju.edu.cn/,WARNING0,,,
careers.nju.edu.cn/,http://careers.nju.edu.cn/portal/browerTips.html,WARNING0,ERROR0,,
南京大学软件工程实验教学中心,http://labse.nju.edu.cn/,WARNING0,,,
fab.nju.edu.cn/,http://fab.nju.edu.cn/,WARNING0,,,
南京大学盐城电子商务研究院,http://ieb.nju.edu.cn/,WARNING0,,,
Home - Gao Group at NJU,http://cvd.nju.edu.cn/,WARNING0,,,
南京大学报,http://www.baidu.com/link?url=1vEZ0r1aOFRVcYRx0E5CBgfCnSihLSj_gExEpk1KA9S8WoVHzPjpcBBbyzOS1bHy&wd=&eqid=c4c7a3fc0000d857000000065c2356d6,WARNING0,ERROR0,ERROR1,
南京大学社会学院,http://sociology.nju.edu.cn/index.html,WARNING0,,,
配位化学国家重点实验室仪器预约管理平台,https://sklccinst.nju.edu.cn/Home/Login,,,,
江苏省高校图书馆事业发展统计与决策服务系统,http://ssk.jalis.nju.edu.cn/,WARNING0,,,
SEG,http://seg.nju.edu.cn/index.action,WARNING0,,,
首页,https://cicam.nju.edu.cn/zh/,,,,
Wei Hu's Homepage - Websoft Research Group,http://ws.nju.edu.cn/~whu,WARNING0,,,
审计处,http://sjc.nju.edu.cn/,WARNING0,,,
欢迎Welcome,http://plab.nju.edu.cn/,WARNING0,,,
南京大学金陵学院党群工作部,http://dqgzb.jlxy.nju.edu.cn/,WARNING0,,,
南京大学金陵学院后勤服务中心,http://hq.jlxy.nju.edu.cn/,WARNING0,,,
登录-南京大学商学院MBA招生系统,http://njuebs.nju.edu.cn/,WARNING0,,,
首页- 化学化工学院公共仪器中心智慧实验室管理系统,http://sic.nju.edu.cn/usample/index?url=http%3A%2F%2Fsic.nju.edu.cn%2F,WARNING0,ERROR0,,
江苏南大出国留学服务中心,http://ossc.nju.edu.cn/,WARNING0,,,
